================================================================================
                    PROCESSES WITH EMBEDDINGS
                    GENERATED WITH REFERENCES
================================================================================
Generated on: November 03, 2025 at 10:29 AM
Total scenarios with embeddings: 811

[11111] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Information Technology | PMBOK
[12112] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Information Technology | PRINCE2
[12113] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Information Technology | ISO Standards
[12122] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Construction | PRINCE2
[12123] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Construction | ISO Standards
[12132] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Healthcare | PRINCE2
[12133] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Healthcare | ISO Standards
[12142] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Finance | PRINCE2
[12143] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Finance | ISO Standards
[12152] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Education | PRINCE2
[12153] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Education | ISO Standards
[12212] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Information Technology | PRINCE2
[12213] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Information Technology | ISO Standards
[12222] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Construction | PRINCE2
[12223] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Construction | ISO Standards
[12232] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Healthcare | PRINCE2
[12233] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Healthcare | ISO Standards
[12242] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Finance | PRINCE2
[12243] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Finance | ISO Standards
[12252] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Education | PRINCE2
[12253] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Education | ISO Standards
[12312] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Information Technology | PRINCE2
[12313] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Information Technology | ISO Standards
[12322] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Construction | PRINCE2
[12323] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Construction | ISO Standards
[12332] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Healthcare | PRINCE2
[12333] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Healthcare | ISO Standards
[12342] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Finance | PRINCE2
[12343] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Finance | ISO Standards
[12352] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Education | PRINCE2
[12353] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Education | ISO Standards
[13111] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Information Technology | PMBOK
[13112] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Information Technology | PRINCE2
[13113] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Information Technology | ISO Standards
[13121] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Construction | PMBOK
[13122] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Construction | PRINCE2
[13123] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Construction | ISO Standards
[13131] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Healthcare | PMBOK
[13132] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Healthcare | PRINCE2
[13133] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Healthcare | ISO Standards
[13141] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Finance | PMBOK
[13142] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Finance | PRINCE2
[13143] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Finance | ISO Standards
[13151] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Education | PMBOK
[13152] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Education | PRINCE2
[13153] Custom Project (Manual Configuration) | Research | Small (< 6 months) | Education | ISO Standards
[13211] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Information Technology | PMBOK
[13212] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Information Technology | PRINCE2
[13213] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Information Technology | ISO Standards
[13221] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Construction | PMBOK
[13222] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Construction | PRINCE2
[13223] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Construction | ISO Standards
[13231] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Healthcare | PMBOK
[13232] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Healthcare | PRINCE2
[13233] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Healthcare | ISO Standards
[13241] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Finance | PMBOK
[13242] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Finance | PRINCE2
[13243] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Finance | ISO Standards
[13251] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Education | PMBOK
[13252] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Education | PRINCE2
[13253] Custom Project (Manual Configuration) | Research | Medium (6-18 months) | Education | ISO Standards
[13311] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Information Technology | PMBOK
[13312] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Information Technology | PRINCE2
[13313] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Information Technology | ISO Standards
[13321] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Construction | PMBOK
[13322] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Construction | PRINCE2
[13323] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Construction | ISO Standards
[13331] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Healthcare | PMBOK
[13332] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Healthcare | PRINCE2
[13333] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Healthcare | ISO Standards
[13341] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Finance | PMBOK
[13342] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Finance | PRINCE2
[13343] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Finance | ISO Standards
[13351] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Education | PMBOK
[13352] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Education | PRINCE2
[13353] Custom Project (Manual Configuration) | Research | Large (> 18 months) | Education | ISO Standards
[14111] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Information Technology | PMBOK
[14112] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Information Technology | PRINCE2
[14113] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Information Technology | ISO Standards
[14121] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Construction | PMBOK
[14122] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Construction | PRINCE2
[14123] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Construction | ISO Standards
[14131] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Healthcare | PMBOK
[14132] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Healthcare | PRINCE2
[14133] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Healthcare | ISO Standards
[14142] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Finance | PRINCE2
[14143] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Finance | ISO Standards
[14152] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Education | PRINCE2
[14153] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Education | ISO Standards
[14211] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Information Technology | PMBOK
[14212] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Information Technology | PRINCE2
[14213] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Information Technology | ISO Standards
[14221] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Construction | PMBOK
[14222] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Construction | PRINCE2
[14223] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Construction | ISO Standards
[14231] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Healthcare | PMBOK
[14232] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Healthcare | PRINCE2
[14233] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Healthcare | ISO Standards
[14242] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Finance | PRINCE2
[14243] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Finance | ISO Standards
[14252] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Education | PRINCE2
[14253] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Education | ISO Standards
[14311] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Information Technology | PMBOK
[14312] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Information Technology | PRINCE2
[14313] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Information Technology | ISO Standards
[14321] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Construction | PMBOK
[14322] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Construction | PRINCE2
[14323] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Construction | ISO Standards
[14331] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Healthcare | PMBOK
[14332] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Healthcare | PRINCE2
[14333] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Healthcare | ISO Standards
[14341] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Finance | PMBOK
[14342] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Finance | PRINCE2
[14343] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Finance | ISO Standards
[14352] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Education | PRINCE2
[14353] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Education | ISO Standards
[15111] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Information Technology | PMBOK
[15112] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Information Technology | PRINCE2
[15113] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Information Technology | ISO Standards
[15121] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Construction | PMBOK
[15122] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Construction | PRINCE2
[15123] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Construction | ISO Standards
[15131] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Healthcare | PMBOK
[15132] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Healthcare | PRINCE2
[15133] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Healthcare | ISO Standards
[15141] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Finance | PMBOK
[15142] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Finance | PRINCE2
[15143] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Finance | ISO Standards
[15151] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Education | PMBOK
[15152] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Education | PRINCE2
[15153] Custom Project (Manual Configuration) | Infrastructure | Small (< 6 months) | Education | ISO Standards
[15211] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Information Technology | PMBOK
[15212] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Information Technology | PRINCE2
[15221] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Construction | PMBOK
[15222] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Construction | PRINCE2
[15223] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Construction | ISO Standards
[15231] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Healthcare | PMBOK
[15232] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Healthcare | PRINCE2
[15233] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Healthcare | ISO Standards
[15241] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Finance | PMBOK
[15242] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Finance | PRINCE2
[15243] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Finance | ISO Standards
[15251] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Education | PMBOK
[15252] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Education | PRINCE2
[15253] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Education | ISO Standards
[15311] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Information Technology | PMBOK
[15312] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Information Technology | PRINCE2
[15313] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Information Technology | ISO Standards
[15321] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Construction | PMBOK
[15322] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Construction | PRINCE2
[15323] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Construction | ISO Standards
[15331] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Healthcare | PMBOK
[15332] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Healthcare | PRINCE2
[15333] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Healthcare | ISO Standards
[15341] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Finance | PMBOK
[15342] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Finance | PRINCE2
[15343] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Finance | ISO Standards
[15351] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Education | PMBOK
[15352] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Education | PRINCE2
[15353] Custom Project (Manual Configuration) | Infrastructure | Large (> 18 months) | Education | ISO Standards
[21111] Custom Software Development | Software Development | Small (< 6 months) | Information Technology | PMBOK
[21112] Custom Software Development | Software Development | Small (< 6 months) | Information Technology | PRINCE2
[21113] Custom Software Development | Software Development | Small (< 6 months) | Information Technology | ISO Standards
[21121] Custom Software Development | Software Development | Small (< 6 months) | Construction | PMBOK
[21122] Custom Software Development | Software Development | Small (< 6 months) | Construction | PRINCE2
[21123] Custom Software Development | Software Development | Small (< 6 months) | Construction | ISO Standards
[21131] Custom Software Development | Software Development | Small (< 6 months) | Healthcare | PMBOK
[21132] Custom Software Development | Software Development | Small (< 6 months) | Healthcare | PRINCE2
[21133] Custom Software Development | Software Development | Small (< 6 months) | Healthcare | ISO Standards
[21141] Custom Software Development | Software Development | Small (< 6 months) | Finance | PMBOK
[21142] Custom Software Development | Software Development | Small (< 6 months) | Finance | PRINCE2
[21143] Custom Software Development | Software Development | Small (< 6 months) | Finance | ISO Standards
[21152] Custom Software Development | Software Development | Small (< 6 months) | Education | PRINCE2
[21153] Custom Software Development | Software Development | Small (< 6 months) | Education | ISO Standards
[21211] Custom Software Development | Software Development | Medium (6-18 months) | Information Technology | PMBOK
[21212] Custom Software Development | Software Development | Medium (6-18 months) | Information Technology | PRINCE2
[21213] Custom Software Development | Software Development | Medium (6-18 months) | Information Technology | ISO Standards
[21221] Custom Software Development | Software Development | Medium (6-18 months) | Construction | PMBOK
[21222] Custom Software Development | Software Development | Medium (6-18 months) | Construction | PRINCE2
[21223] Custom Software Development | Software Development | Medium (6-18 months) | Construction | ISO Standards
[21231] Custom Software Development | Software Development | Medium (6-18 months) | Healthcare | PMBOK
[21232] Custom Software Development | Software Development | Medium (6-18 months) | Healthcare | PRINCE2
[21233] Custom Software Development | Software Development | Medium (6-18 months) | Healthcare | ISO Standards
[21241] Custom Software Development | Software Development | Medium (6-18 months) | Finance | PMBOK
[21242] Custom Software Development | Software Development | Medium (6-18 months) | Finance | PRINCE2
[21251] Custom Software Development | Software Development | Medium (6-18 months) | Education | PMBOK
[21252] Custom Software Development | Software Development | Medium (6-18 months) | Education | PRINCE2
[21253] Custom Software Development | Software Development | Medium (6-18 months) | Education | ISO Standards
[21311] Custom Software Development | Software Development | Large (> 18 months) | Information Technology | PMBOK
[21312] Custom Software Development | Software Development | Large (> 18 months) | Information Technology | PRINCE2
[21313] Custom Software Development | Software Development | Large (> 18 months) | Information Technology | ISO Standards
[21321] Custom Software Development | Software Development | Large (> 18 months) | Construction | PMBOK
[21322] Custom Software Development | Software Development | Large (> 18 months) | Construction | PRINCE2
[21323] Custom Software Development | Software Development | Large (> 18 months) | Construction | ISO Standards
[21331] Custom Software Development | Software Development | Large (> 18 months) | Healthcare | PMBOK
[21332] Custom Software Development | Software Development | Large (> 18 months) | Healthcare | PRINCE2
[21333] Custom Software Development | Software Development | Large (> 18 months) | Healthcare | ISO Standards
[21341] Custom Software Development | Software Development | Large (> 18 months) | Finance | PMBOK
[21342] Custom Software Development | Software Development | Large (> 18 months) | Finance | PRINCE2
[21343] Custom Software Development | Software Development | Large (> 18 months) | Finance | ISO Standards
[21351] Custom Software Development | Software Development | Large (> 18 months) | Education | PMBOK
[21352] Custom Software Development | Software Development | Large (> 18 months) | Education | PRINCE2
[21353] Custom Software Development | Software Development | Large (> 18 months) | Education | ISO Standards
[22112] Custom Software Development | Construction | Small (< 6 months) | Information Technology | PRINCE2
[22113] Custom Software Development | Construction | Small (< 6 months) | Information Technology | ISO Standards
[22122] Custom Software Development | Construction | Small (< 6 months) | Construction | PRINCE2
[22123] Custom Software Development | Construction | Small (< 6 months) | Construction | ISO Standards
[22132] Custom Software Development | Construction | Small (< 6 months) | Healthcare | PRINCE2
[22133] Custom Software Development | Construction | Small (< 6 months) | Healthcare | ISO Standards
[22142] Custom Software Development | Construction | Small (< 6 months) | Finance | PRINCE2
[22143] Custom Software Development | Construction | Small (< 6 months) | Finance | ISO Standards
[22152] Custom Software Development | Construction | Small (< 6 months) | Education | PRINCE2
[22153] Custom Software Development | Construction | Small (< 6 months) | Education | ISO Standards
[22212] Custom Software Development | Construction | Medium (6-18 months) | Information Technology | PRINCE2
[22213] Custom Software Development | Construction | Medium (6-18 months) | Information Technology | ISO Standards
[22222] Custom Software Development | Construction | Medium (6-18 months) | Construction | PRINCE2
[22223] Custom Software Development | Construction | Medium (6-18 months) | Construction | ISO Standards
[22232] Custom Software Development | Construction | Medium (6-18 months) | Healthcare | PRINCE2
[22233] Custom Software Development | Construction | Medium (6-18 months) | Healthcare | ISO Standards
[22242] Custom Software Development | Construction | Medium (6-18 months) | Finance | PRINCE2
[22243] Custom Software Development | Construction | Medium (6-18 months) | Finance | ISO Standards
[22252] Custom Software Development | Construction | Medium (6-18 months) | Education | PRINCE2
[22253] Custom Software Development | Construction | Medium (6-18 months) | Education | ISO Standards
[22312] Custom Software Development | Construction | Large (> 18 months) | Information Technology | PRINCE2
[22313] Custom Software Development | Construction | Large (> 18 months) | Information Technology | ISO Standards
[22322] Custom Software Development | Construction | Large (> 18 months) | Construction | PRINCE2
[22323] Custom Software Development | Construction | Large (> 18 months) | Construction | ISO Standards
[22332] Custom Software Development | Construction | Large (> 18 months) | Healthcare | PRINCE2
[22333] Custom Software Development | Construction | Large (> 18 months) | Healthcare | ISO Standards
[22342] Custom Software Development | Construction | Large (> 18 months) | Finance | PRINCE2
[22343] Custom Software Development | Construction | Large (> 18 months) | Finance | ISO Standards
[22352] Custom Software Development | Construction | Large (> 18 months) | Education | PRINCE2
[22353] Custom Software Development | Construction | Large (> 18 months) | Education | ISO Standards
[23111] Custom Software Development | Research | Small (< 6 months) | Information Technology | PMBOK
[23112] Custom Software Development | Research | Small (< 6 months) | Information Technology | PRINCE2
[23113] Custom Software Development | Research | Small (< 6 months) | Information Technology | ISO Standards
[23121] Custom Software Development | Research | Small (< 6 months) | Construction | PMBOK
[23122] Custom Software Development | Research | Small (< 6 months) | Construction | PRINCE2
[23123] Custom Software Development | Research | Small (< 6 months) | Construction | ISO Standards
[23131] Custom Software Development | Research | Small (< 6 months) | Healthcare | PMBOK
[23132] Custom Software Development | Research | Small (< 6 months) | Healthcare | PRINCE2
[23133] Custom Software Development | Research | Small (< 6 months) | Healthcare | ISO Standards
[23141] Custom Software Development | Research | Small (< 6 months) | Finance | PMBOK
[23142] Custom Software Development | Research | Small (< 6 months) | Finance | PRINCE2
[23143] Custom Software Development | Research | Small (< 6 months) | Finance | ISO Standards
[23152] Custom Software Development | Research | Small (< 6 months) | Education | PRINCE2
[23153] Custom Software Development | Research | Small (< 6 months) | Education | ISO Standards
[23211] Custom Software Development | Research | Medium (6-18 months) | Information Technology | PMBOK
[23212] Custom Software Development | Research | Medium (6-18 months) | Information Technology | PRINCE2
[23213] Custom Software Development | Research | Medium (6-18 months) | Information Technology | ISO Standards
[23221] Custom Software Development | Research | Medium (6-18 months) | Construction | PMBOK
[23222] Custom Software Development | Research | Medium (6-18 months) | Construction | PRINCE2
[23223] Custom Software Development | Research | Medium (6-18 months) | Construction | ISO Standards
[23231] Custom Software Development | Research | Medium (6-18 months) | Healthcare | PMBOK
[23232] Custom Software Development | Research | Medium (6-18 months) | Healthcare | PRINCE2
[23233] Custom Software Development | Research | Medium (6-18 months) | Healthcare | ISO Standards
[23241] Custom Software Development | Research | Medium (6-18 months) | Finance | PMBOK
[23242] Custom Software Development | Research | Medium (6-18 months) | Finance | PRINCE2
[23243] Custom Software Development | Research | Medium (6-18 months) | Finance | ISO Standards
[23252] Custom Software Development | Research | Medium (6-18 months) | Education | PRINCE2
[23253] Custom Software Development | Research | Medium (6-18 months) | Education | ISO Standards
[23311] Custom Software Development | Research | Large (> 18 months) | Information Technology | PMBOK
[23312] Custom Software Development | Research | Large (> 18 months) | Information Technology | PRINCE2
[23313] Custom Software Development | Research | Large (> 18 months) | Information Technology | ISO Standards
[23321] Custom Software Development | Research | Large (> 18 months) | Construction | PMBOK
[23322] Custom Software Development | Research | Large (> 18 months) | Construction | PRINCE2
[23323] Custom Software Development | Research | Large (> 18 months) | Construction | ISO Standards
[23331] Custom Software Development | Research | Large (> 18 months) | Healthcare | PMBOK
[23332] Custom Software Development | Research | Large (> 18 months) | Healthcare | PRINCE2
[23333] Custom Software Development | Research | Large (> 18 months) | Healthcare | ISO Standards
[23341] Custom Software Development | Research | Large (> 18 months) | Finance | PMBOK
[23342] Custom Software Development | Research | Large (> 18 months) | Finance | PRINCE2
[23343] Custom Software Development | Research | Large (> 18 months) | Finance | ISO Standards
[23351] Custom Software Development | Research | Large (> 18 months) | Education | PMBOK
[23352] Custom Software Development | Research | Large (> 18 months) | Education | PRINCE2
[23353] Custom Software Development | Research | Large (> 18 months) | Education | ISO Standards
[24111] Custom Software Development | Marketing | Small (< 6 months) | Information Technology | PMBOK
[24112] Custom Software Development | Marketing | Small (< 6 months) | Information Technology | PRINCE2
[24113] Custom Software Development | Marketing | Small (< 6 months) | Information Technology | ISO Standards
[24121] Custom Software Development | Marketing | Small (< 6 months) | Construction | PMBOK
[24122] Custom Software Development | Marketing | Small (< 6 months) | Construction | PRINCE2
